GAIpos,lemp,HHI,ltdc,lni,lprod
1.4735662,4.869072,1,9.5367327,15.853827,15.85563
.86699533,1.2581768,1,8.3221579,11.116782,11.176124
1.5543072,3.6558397,.77303046,9.2148619,14.475618,14.480797
2.2237053,4.9416423,.47993308,10.272671,15.867881,15.87159
2.8394277,2.3314641,.26540542,8.8687677,11.621789,11.683575
3.1731796,3.4339871,.9178822,9.1272364,12.161777,12.208754
3.1230342,2.5336969,.84620786,8.8551788,13.650244,13.658481
3.6973734,4.2626801,1,9.4440355,12.890854,12.922204
.46328998,.41343328,1,9.135622,10.030457,10.373107
2.1429641,3.1834559,.96115249,8.2999325,10.841116,10.91694
.98911971,2.1687107,.49202156,8.7538662,13.089842,13.102846
2.6473498,2.2906137,1,8.9209976,12.095811,12.136763
2.080137,2.3475585,.69310224,8.6732092,12.454926,12.477455
1.1506019,2.3125355,1,8.8737202,13.082099,13.09686
2.2901287,3.5723457,.27048409,9.1777363,14.469917,14.474936
2.0407791,.22872794,1,7.8869748,11.510543,11.53688
2.4659283,4.2904596,1,8.7611446,11.833314,11.878594
1.9400986,2.5095992,.31002614,8.6093302,12.272292,12.297626
3.7598112,1.3083328,.37042138,8.6980047,12.391172,12.415761
2.830276,3.1780539,1,9.144887,12.815841,12.840975
1.2313429,2.1860514,.34701928,7.9021249,10.575283,10.642038
1.1506019,2.3025851,.37431815,8.4384241,11.792533,11.826877
1.0698607,2.6336858,.99004847,8.8181753,12.982413,12.997836
2.3135979,3.4719665,1,8.9469252,11.602358,11.670267
2.062223,3.1612468,.73258322,9.0796757,12.391172,12.426985
1.312084,4.2766662,.29871303,9.5933208,14.874551,14.879623
3.6810956,5.8522024,1,9.8707218,14.024692,14.040271
1.6350483,4.1046743,.59056592,9.7432241,14.873185,14.879085
3.8103461,4.3901806,.99284083,9.676403,15.47215,15.475186
1.6764315,1.9213247,1,8.4848957,12.2145,12.238219
1.9814819,2.6039481,1,8.6582155,11.751207,11.795574
1.0516593,2.8332133,1,8.6751747,7.6832504,8.9906139
2.6687937,3.713572,.97269469,8.2181015,12.638825,12.650779
1.5956905,2.0533543,1,8.3853064,10.549604,10.658307
2.062223,5.1984968,.31232357,10.460788,15.808805,15.81355
2.6473498,1.0079579,1,7.2350121,6.1909981,7.5366259
3.2339814,2.7343676,.74217743,9.4442081,14.307358,14.315054
1.7571727,2.6026897,.53942865,8.1095591,12.382425,12.396271
1.7711008,4.2341065,1,8.9541502,11.98231,12.02958
.62477207,3.3322046,.5061397,9.205595,13.690777,13.701988
2.080137,3.992976,.26146853,9.9273329,15.504622,15.508398
.92953503,4.3174882,1,9.99368,13.876607,13.896988
.92953503,3.8918202,1,7.9242392,9.6783209,9.8379421
