GAI,lemp1,HHI,ltdc,lni
.97830009,6.1586151,.96151614,8.0295143,12.855599
1.1397823,6.2475624,1,7.655756,12.138329
2.6671259,7.3516207,.90398675,10.108048,12.075104
3.2522531,7.3313851,1,9.8177767,13.352762
2.415751,8.2467394,1,8.9639454,12.117787
.97830009,5.9527631,1,8.8855295,12.508766
2.3529239,4.7079682,.95056027,8.1859694,10.854431
1.3012645,5.9745245,.80831051,7.0993762,10.484166
3.3059282,7.7910423,1,9.2104721,13.475833
1.9706624,5.2187939,.99274236,9.0889549,11.346198
1.833896,7.1423469,1,9.3485756,13.297996
2.6779137,7.8862286,.97154874,9.2501831,12.744553
2.1321445,6.5718021,1,8.7105513,11.758566
1.7069952,5.9237752,1,8.097724,11.158861
1.202322,6.1350846,1,6.3229456,11.198981
1.0408399,7.8000922,1,8.6205463,13.198142
1.8088927,7.7204247,.59232175,9.5566359,15.932488
1.665612,7.3390574,1,8.5634632,11.454576
4.0739813,6.4998932,1,8.3214836,10.224339
1.9078352,7.7301335,1,8.7576246,11.597377
1.3638041,5.1382551,1,6.873313,10.70605
.67649221,7.2066679,1,8.6937656,12.283038
2.2721829,8.0527067,.99140108,9.2245932,14.052636
1.9492185,4.5968595,1,8.2415867,11.831699
1.4233887,4.7861776,.86389941,7.4435892,10.679666
4.1588106,6.6021075,1,8.6876936,12.438838
2.8608396,7.2257285,1,9.3236265,15.048945
.83797443,5.6958408,1,8.6323004,11.283927
5.9350767,9.2496576,.97164959,9.1456852,14.379118
2.1914418,4.2299962,1,8.6520023,13.329882
2.7800987,6.3677068,1,9.276226,12.034056
2.5772333,2.9280431,.88705903,7.8982544,12.100712
2.5557895,6.6417584,1,10.020066,14.286763
1.4051874,4.4083099,1,9.8533449,10.549202
2.3743677,5.9237752,1,8.8474617,10.325417
2.1568604,7.1336131,.70454842,8.7761288,12.434005
3.1444464,7.7864866,.89388084,10.80269,14.161225
2.1412961,6.8972244,1,8.9110403,12.733755
.59575117,6.3094378,1,7.4460588,10.773504
1.2205234,6.268199,.95606208,8.1615543,11.595841
1.4233887,7.3532419,1,7.5058885,9.9039373
5.8404078,5.7306905,1,9.1153498,11.367923
2.0299597,4.9053869,1,7.9853029,10.954606
.97830009,7.2572274,.84827018,7.8373604,10.694261
1.9492185,6.0609765,.75534904,8.6611528,10.955689
.83797443,6.8102131,1,8.6811972,12.235816
2.2936268,5.4756484,1,7.5595646,11.923697
.59575117,3.5320377,1,6.4457197,10.323414
3.1444464,6.7918639,1,8.8698702,13.028846
2.8608396,7.5390782,1,8.7012844,12.598115
2.0299597,8.4037676,.74350631,9.2365866,13.53182
2.0299597,6.8388891,1,8.3409014,11.097032
2.9415808,8.5918198,1,8.365737,8.9871969
1.4233887,5.0428801,.99121767,8.618145,11.765534
