ni,emp,HHI,tdc1,GAI
4442,68,1,19898.438,.8194564
136.791,3.878,.55433619,5548.892,.11070067
84.59999999999999,4.345,.59608215,1578.804,-.57661122
362.912,50,1,5619.329,1.3866694
2899,31.8,1,9397.821,.79801255
-156.734,13.579,1,7280.417,1.5735812
136.7,7.607,.7793451,3526.304,.19144174
70.803,4.6,1,2497.056,-.45651233
4833,89.446,.34255365,15499.898,.43366498
-1.6,7.1,.78406996,3343.561,.8787536
131.883,10.691,.41203046,1344.469,-.25364691
-50.682,28.9,1,1843.283,1.1929557
610,14,.542328,13275.326,1.5481516
17.762,2.36,.5707919,3640.913,.36207563
-178,32.6,.89145911,11946.691,3.0632031
-379.427,2.125,.42858967,4871.91,-.86021769
-140,134.63,.92303813,13337.461,.79801255
40.496,1.09,.4035463,689.335,-.69873554
14.687,.901,1,4468.017,.94158077
180.96,.991,.9664048,4754.25,-.33438799
63.246,3.56,1,8655.261,-1.183182
350,17.2,.22898814,14387.213,1.4674104
220,15.6,1,13105.971,-1.4042488
-90.828,1.98,.75714493,3340.973,-1.102441
31.121,2.48,.51492763,2335.386,-.49587011
3760,70.7,1,43435.852,-.37577128
-2441,2.395,1,7253.154,-1.1620256
211.111,6.232,1,4878.045,1.2645451
600,72.5,.94307876,2609.71,-.33438799
1556,30.456,1,6952.969,-.75832021
21.984,3.6,.50695586,3229.207,1.5481516
45.094,1.1,.80379575,1765.494,-.61799449
878.485,7.943,.82355708,9519.597,2.6089628
286.5,7.596,1,3074.247,.060555182
1990,65,.30337128,15795.622,.98093855
145.9,20.4,1,7813.32,1.000878
151.209,1.608,1,2116.32,-1.183182
357.659,23.7,.51998317,8931.474,-.25364691
-7829,11.1,.57981747,6794.616,1.9395648
231.011,11,.44868866,7042.865,-.53725344
-73.94,4.777,1,4142.327,-.57661122
578,15.781,1,8937.809999999999,1.1193409
-1.4,6.2,.62577194,19612.066,.27218282
244.977,2.364,.7408275,3308.029,.61659098
103.409,8.1,.91834003,8892.556,.41575104
135,27,1,7466.855,.58638489
30.562,5.5,1,2371.393,-.86021769
1406,46.6,.86801821,14393.368,1.5660655
1604,23,.62747401,6380.071,-.53725344
888,23,1,11123.049,2.083133
1350,17.387,1,12006.137,2.6483204
18.029,.451,1,364.94,-.61799449
-95.07299999999999,2.567,.5471611,2760.019,.051403448
67.33499999999999,.245,1,3290.117,-.40597731
42.219,3.542,.65992016,3793.423,-1.0216999
756.8,13.5,1,2857.85,-.95916015
352,7.4,.93993068,5540.57,.82860816
-1582.961,.112,1,3210.663,-.4516339
-513,105,1,12816.574,2.0616891
682,12.799,1,9985.190000000001,-.24449517
-116.683,.397,1,3397.742,-.65735227
-76.40000000000001,27.6,.59720832,9504.040999999999,-.085362904
5452,263,1,22189.307,1.081619
